#
#
# US Geological Survey, Water Resources Data
# retrieved: 2020-03-30 23:57:59 EDT      (vaww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/co/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09112500 EAST RIVER AT ALMONT, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		18852	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
USGS	09112500	00060	18852	1957	8	621.4
USGS	09112500	00060	18852	1957	9	210.4
USGS	09112500	00060	18852	1957	10	128.3
USGS	09112500	00060	18852	1957	11	107.4
USGS	09112500	00060	18852	1957	12	78.3
USGS	09112500	00060	18852	1958	1	65
USGS	09112500	00060	18852	1958	2	61.8
USGS	09112500	00060	18852	1958	3	66.4
USGS	09112500	00060	18852	1958	4	172.9
USGS	09112500	00060	18852	1958	5	1627
USGS	09112500	00060	18852	1958	6	1344
USGS	09112500	00060	18852	1958	7	294
USGS	09112500	00060	18852	1958	8	172.8
USGS	09112500	00060	18852	1958	9	110
USGS	09112500	00060	18852	1958	10	79.8
USGS	09112500	00060	18852	1958	11	74.7
USGS	09112500	00060	18852	1958	12	55.6
USGS	09112500	00060	18852	1959	1	50
USGS	09112500	00060	18852	1959	2	48
USGS	09112500	00060	18852	1959	3	46.4
USGS	09112500	00060	18852	1959	4	135.7
USGS	09112500	00060	18852	1959	5	535.9
USGS	09112500	00060	18852	1959	6	1057
USGS	09112500	00060	18852	1959	7	246.2
USGS	09112500	00060	18852	1959	8	163.2
USGS	09112500	00060	18852	1959	9	67.1
USGS	09112500	00060	18852	1959	10	165.5
USGS	09112500	00060	18852	1959	11	120.8
USGS	09112500	00060	18852	1959	12	61.6
USGS	09112500	00060	18852	1960	1	66.6
USGS	09112500	00060	18852	1960	2	58.6
USGS	09112500	00060	18852	1960	3	65.5
USGS	09112500	00060	18852	1960	4	387.5
USGS	09112500	00060	18852	1960	5	633.7
USGS	09112500	00060	18852	1960	6	1035
USGS	09112500	00060	18852	1960	7	295
USGS	09112500	00060	18852	1960	8	139.7
USGS	09112500	00060	18852	1960	9	58.4
USGS	09112500	00060	18852	1960	10	88
USGS	09112500	00060	18852	1960	11	87.4
USGS	09112500	00060	18852	1960	12	56.9
USGS	09112500	00060	18852	1961	1	50.6
USGS	09112500	00060	18852	1961	2	45.4
USGS	09112500	00060	18852	1961	3	56.5
USGS	09112500	00060	18852	1961	4	136.1
USGS	09112500	00060	18852	1961	5	813.4
USGS	09112500	00060	18852	1961	6	765.2
USGS	09112500	00060	18852	1961	7	194
USGS	09112500	00060	18852	1961	8	114.6
USGS	09112500	00060	18852	1961	9	142
USGS	09112500	00060	18852	1961	10	243.6
USGS	09112500	00060	18852	1961	11	156.7
USGS	09112500	00060	18852	1961	12	114.3
USGS	09112500	00060	18852	1962	1	82.9
USGS	09112500	00060	18852	1962	2	90.4
USGS	09112500	00060	18852	1962	3	82.5
USGS	09112500	00060	18852	1962	4	473.6
USGS	09112500	00060	18852	1962	5	1331
USGS	09112500	00060	18852	1962	6	1651
USGS	09112500	00060	18852	1962	7	737.4
USGS	09112500	00060	18852	1962	8	227.2
USGS	09112500	00060	18852	1962	9	85.7
USGS	09112500	00060	18852	1962	10	84.9
USGS	09112500	00060	18852	1962	11	72.9
USGS	09112500	00060	18852	1962	12	51.6
USGS	09112500	00060	18852	1963	1	51.5
USGS	09112500	00060	18852	1963	2	54.3
USGS	09112500	00060	18852	1963	3	67
USGS	09112500	00060	18852	1963	4	213.2
USGS	09112500	00060	18852	1963	5	855.9
USGS	09112500	00060	18852	1963	6	447.1
USGS	09112500	00060	18852	1963	7	148.4
USGS	09112500	00060	18852	1963	8	115.1
USGS	09112500	00060	18852	1963	9	89.2
USGS	09112500	00060	18852	1963	10	60.5
USGS	09112500	00060	18852	1963	11	73.2
USGS	09112500	00060	18852	1963	12	55.3
USGS	09112500	00060	18852	1964	1	49.2
USGS	09112500	00060	18852	1964	2	46.1
USGS	09112500	00060	18852	1964	3	44.5
USGS	09112500	00060	18852	1964	4	77.2
USGS	09112500	00060	18852	1964	5	824.8
USGS	09112500	00060	18852	1964	6	962
USGS	09112500	00060	18852	1964	7	385.4
USGS	09112500	00060	18852	1964	8	205.4
USGS	09112500	00060	18852	1964	9	104.6
USGS	09112500	00060	18852	1964	10	67.2
USGS	09112500	00060	18852	1964	11	80.5
USGS	09112500	00060	18852	1964	12	68.4
USGS	09112500	00060	18852	1965	1	69.2
USGS	09112500	00060	18852	1965	2	57
USGS	09112500	00060	18852	1965	3	49.2
USGS	09112500	00060	18852	1965	4	174.4
USGS	09112500	00060	18852	1965	5	1157
